,Content,Polarity
0,graci mar,0
1,off pens regalit sind va sga van corrupt intent sac conclusion intent,1
2,conozc algui q adict dram ja ja ja suen d,0
3,toc grabacion dl especial navideñomari crism,0
4,buen dia primer mand abraz grand miguel famili hoy podr ser dia grandez human,0
5,escañ list empez endiascomohoy congres {link},0
6,bdi em ira puent si vais dejeis llev tablet pc lueg orbyt moment dig,0
7,sistem econom q recort diner prestacion social refuerz billon medi d eur banc necesit repens,0
8,programascambi cac d ajust,1
9,buen viern,0
10,“ programascambi tt graci ” graci buen rat amig,0
11,univers conf call encar ret ambici {link},0
12,ayud indultoneir tt si zapater quier algun sugerent ultim consej ministr {link},0
13,abcdesevill reci «indici potentes» denunci respons ere {link},1
14,abcdesevill cuatr altos carg emple denunci retir prejubil extrabaj {link},1
15,march atras pp pospon devolu cca resbalon deb asum fall ment dic conoc cuent,1
16,viern negr aument par noviembr disminu afili segur social trist herenciapso,1
17,accident bus-va a- km motor años her men grav trasl hospital doc octubr via,1
18,verdader seried comic niall binns retrat nicanor parr premi cervant {link},0
19,ff des desesper hac ff hac diran,1
20,ff xa x volv sonreir x ser tan autent x subidòn x victori,0
21,agradezc trabaj sindicat desconvocatori huelg aeropuert compromet medi sevillahoy,0
22,ff ser gran inici moment necesit record import verdader,0
23,terc actoacuerd banc central dar tiemp,0
24,conscient pid gran esfuerz famili castellanomancheg,1
25,eguigur gobiern negoci eta llev dos años denunci {link},1
26,aprob ley sind,1
27,anim hoy armad esper pod brind quint cop davis much suert {link},0
28,blanc ministr portavoz funcion desacredit form rotund pte pse jesus eguigurenn sab habl ciert,1
29,desgraci par españ sig crec madr va mejor cotiz desempl men,1
30,ff vuelt -,0
31,gracios laic social met amazing grac anunci dgt si descuid pon pang lingu,1
32,encant ver aqui -,0
33,si valenci españ recom exposicion {link},0
34,“ amigaaaaa” holaaa guapaaa,0
35,juez imput dos direct ciud artes cienci valenci cas urdangarin parec men,1
36,desemple ee uu baj nivel marz {link},0
37,gran reconoc da dat par objet interin,1
38,corazon parti españ irland enfrent eurocop,1
39,transparent internacional españ ocup n ranking pdetras detras chipr emirat arab qatarurg ley transparent,1
40,rt estas navidad regal solidaridadpositivegeneration cont {link},0
41,crisis ident rt español encim,1
42,teleton hac gran servici social voy apoy supuest rt cont {link},0
43,cospedal deb ped perdon ment utiliz form demagog rebaj sueld funcionariosl ahor aplic pudor,1
44,asi gust monic “ orden jef cualqu va discut ipad+orbyt+trabajo”,0
45,hac cinc mes pp comunic escrit interlocutor preferent iu ello permit gobern ahor pid consens,0
46,bienven brig anti-v region problem iu dej tir monag mes despues nombramient,1
47,ley embudocaracterist derech español anim,1
48,ciert llev maravill rt ¬¬ qe cont {link},0
49,españ pon punt gan quint davissevill d nuev talismanmañanah {link},0
50,buen españ punt gan ª cop davis felic equip,0
51,borr amiguet abruz,0
52,nadaaa sabeis asi vec coincid mand cariñort cont {link},0
53,adios dia q casi culmin destap dl bienest q va qued despues d q gast casi,1
54,ris ilumin almas bañ tristez sonris tibi carici hel soledadwh patrick,0
55,deten carrer nucl iran deb ser priorid estrateg maxim occident,1
56,ver si entiend banc central europe pued prest gobi prest fmi q q si puedel hag europ,0
57,altos carg recel exhaust traspas poder asegur convert fiscaliz {link},1
58,buen dias buen eran/sig siend talking heads,0
59,jijijiji q sib mes dl jur verdader manol escob hac d lady marmalad jojijii,0
60,result preliminar egipt augur profund cambi consecuent regionalesfalt vot rural q atenu result,1
61,tranquil carreter segund dia puent constitu - {link},0
62,graci hospital - rt bienven don humild mor,0
63,espolon conmemor dia discapac {link},0
64,vandal arranc nuev lapiz picass {link},1
65,apoy verd reduc impuest puebl {link},0
66,d agu fri despu dl entren mañan ahor com d past descans total noch q ser dificil,1
67,corr dewars“ graci jordi”,0
68,deten jef prestigi ong rus control electoral {link},0
69,program graci buenafuent q dais tant risa”,1
70,articul esd testarudez consejer salud riojan pon sanz picot {link},1
71,sincer observ zon recre psiquiatr hcivil patet veo {link},1
72,fin muj amig repart iceberg nuev pelicul gabriel velazquezpor gabri pas años {link},0
73,asi zon recre psiquiatr hospital civil patet person {link},1
74,reserv dond com deposit ahorr famili sol oblig trasparent public aunqu veo expert,1
75,bien sient si asil uedil bienven ayeresp aun salg adel,1
76,graci amig,0
77,precios verd - perdonam by pabl alboran from soundhound {link},0
78,ataqu inyeccion sql masiv {link},1
79,mir arbol - {link},0
80,jej buen hech llor risa”,0
81,rt vam chilen ultim esfuerz banc qued logr teleton necesit,0
82,duerm voy intent deb ser tan dificil,0
83,rt ver pau cuant x jeep terren maestr multiplicocomopaulinarubi ja ja ja buen,0
84,medi comun llen anunci oficial q recort gast public denunci,1
85,buen dias mil graci rt buen dia concejal favorit,0
86,critic pid reunion nieg alcald {link},1
87,krugm auster mat eur {link} via,1
88,quien tap pso respuest blog {link} leid dos libr metafor,1
89,- rt {link} arte cultur pintur muse museums,0
